name ú ó í á,file
"Cuadro 1. Cantidad y superficie de fincas agropecuarias, según tamaño de finca y departamento: Censos 2008 y 2022.",Cuadro 01
"Cuadro 2. Cantidad de fincas por condición jurídica y/o forma de manejo, según tamañode finca y departamento.",Cuadro 02
"Cuadro 3. Cantidad de productores por lugar y años de residencia, según tamañode finca y departamento.",Cuadro 03
"Cuadro 4. Cantidad de productores por nacionalidad, según tamañode finca y departamento.",Cuadro 04
"Cuadro 5. Cantidad de productores residentes en finca por sexo, según tamañode finca y departamento.",Cuadro 05
"Cuadro 6. Cantidad de productores residentes en finca por nivel educacional y sexo, según tamañode finca y departamento.",Cuadro 06
"Cuadro 7. Cantidad de miembros del hogar residentes en finca por grupo de edad y sexo, según tamañode finca y departamento.",Cuadro 07
"Cuadro 8. Cantidad de miembros del hogar residentes en finca por edad y sexo, según tamañode finca y departamento.",Cuadro 08
"Cuadro 9. Cantidad de miembros del hogar residentes en finca por relaciónde parentesco, según tamañode finca y departamento.",Cuadro 09
"Cuadro 10. Cantidad de miembros del hogar residentes en finca por tipo de ocupación y sexo, según tamañode finca y departamento.",Cuadro 10
"Cuadro 11. Cantidad de miembros del hogar residentes en finca por tipo de ocupación principal y sexo, según tamañode finca y departamento.",Cuadro 11
"Cuadro 12. Cantidad de productores residentes en finca por tipo de ocupación y sexo, según tamañode finca y departamento.",Cuadro 12
"Cuadro 13. Cantidad de productores residentes en finca por tipo de ocupación principal y sexo, según tamañode finca y departamento.",Cuadro 13
"Cuadro 14. Cantidad de fincas con trabajadores asalariados no familiares por relaciónlaboral y sexo, según tamañode finca y departamento.",Cuadro 14
"Cuadro 15. Cantidad de trabajadores asalariados no familiares por relaciónlaboral y sexo, según tamañode finca y departamento.",Cuadro 15
"Cuadro 16. Cantidad y superficie de fincas por forma de tenencia, según tamañode finca y departamento.",Cuadro 16
"Cuadro 17. Cantidad y superficie de fincas por número de parcelas, según tamaño de finca y departamento.",Cuadro 17
"Cuadro 18. Cantidad y superficie de fincas con arreglo a una y más forma de tenencia de tierra, según tamañode finca y departamento.",Cuadro 18
"Cuadro 19. Cantidad y superficie de fincas por uso de tierra, según tamañode finca y departamento.",Cuadro 19
"Cuadro 20. Cantidad y superficie de labranza, según tamañode finca y departamento. Censos de 2008 y 2022.",Cuadro 20
"Cuadro 21. Cantidad y superficie de fincas portamañode labranza, según tamañode finca y departamento.",Cuadro 21
"Cuadro 22. Cantidad y superficie de áreas destinadas a cultivos, según tamañode finca y departamento. Censos de 2008 y 2022.",Cuadro 22
"Cuadro 23. Cantidad y superficie de fincas portamañode área cultivada, según tamañode finca y departamento. ",Cuadro 23
"Cuadro 24. Cantidad y superficie de pasturas, según tamañode finca y departamento. Censos de 2008 y 2022.",Cuadro 24
"Cuadro 25. Cantidad y superficie de fincas portamañode pastura, según tamañode finca y departamento.",Cuadro 25
"Cuadro 26. Cantidad de fincas, superficie cultivada y producción de Algodón y Sésamo, según tamañode finca y departamento.",Cuadro 26
"Cuadro 27. Cantidad de fincas, superficie cultivada y producción de Soja zafra normal y zafriña, según tamañode finca y departamento.",Cuadro 27
"Cuadro 28. Cantidad de fincas, superficie cultivada y producción de Trigo y Caña de azúcar para uso industrial, según tamañode finca y departamento.",Cuadro 28
"Cuadro 29. Cantidad de fincas, superficie cultivada y producción de Maíz zafra normal y Maíz zafriña, según tamañode finca y departamento.",Cuadro 29
"Cuadro 30. Cantidad de fincas, superficie cultivada y producción de Maíz Chipa, Pichinga y Locro, según tamañode finca y departamento.",Cuadro 30
"Cuadro 31. Cantidad de fincas, superficie cultivada y producción de Mandioca y Maní, según tamañode finca y departamento.",Cuadro 31
"Cuadro 32. Cantidad de fincas, superficie cultivada y producción de Poroto y Sandía, según tamañode finca y departamento.",Cuadro 32
"Cuadro 33. Cantidad de fincas, superficie cultivada y producción de Canola y Batata, según tamañode finca y departamento.",Cuadro 33
"Cuadro 34. Cantidad de fincas, superficie cultivada y producción de Girasol y Tabaco, según tamañode finca y departamento.",Cuadro 34
"Cuadro 35. Cantidad de fincas, superficie cultivada y producción de Arroz con riego y Arroz secano, según tamañode finca y departamento.",Cuadro 35
"Cuadro 36. Cantidad de fincas con huerta familiar y comercial por tipo de manejo, residencia y sexo del productor, según tamañode finca y departamento.",Cuadro 36
"Cuadro 37. Cantidad de fincas, superficie cultivada y producción de Tomate y Frutilla, según tamañode finca y departamento.",Cuadro 37
"Cuadro 38. Cantidad de fincas, superficie cultivada y producción de Locote y Zanahoria, según tamañode finca y departamento.",Cuadro 38
"Cuadro 39. Cantidad de fincas, superficie cultivada y producción de Banano, según tamañode finca y departamento.",Cuadro 39
"Cuadro 40. Cantidad de fincas, superficie cultivada y producción de Cafeto, según tamañode finca y departamento.",Cuadro 40
"Cuadro 41. Cantidad de fincas, superficie cultivada y producción de Naranjo agrio para esencia, según tamañode finca y departamento.",Cuadro 41
"Cuadro 42. Cantidad de fincas, superficie cultivada y producción de Piña , según tamañode finca y departamento.",Cuadro 42
"Cuadro 43. Cantidad de fincas, superficie cultivada y producción de Tung, según tamañode finca y departamento.",Cuadro 43
"Cuadro 44. Cantidad de fincas, superficie cultivada y producción de Yerba mate, según tamañode finca y departamento.",Cuadro 44
"Cuadro 45. Cantidad de fincas, superficie cultivada y producción de Mandarina, según tamañode finca y departamento.",Cuadro 45
"Cuadro 46. Cantidad de fincas, superficie cultivada y producción de Naranjo dulce, según tamañode finca y departamento.",Cuadro 46
"Cuadro 47. Cantidad de fincas, superficie cultivada y producción de Coco, según tamañode finca y departamento.",Cuadro 47
"Cuadro 48. Cantidad de fincas y superficie cultivada de Flores y Plantas ornamentales para la venta, según tamañode finca y departamento.",Cuadro 48
"Cuadro 49. Cantidad de fincas y superficie cultivada por especies Forrajeras, según tamañode finca y departamento.",Cuadro 49
"Cuadro 50. Cantidad de fincas y superficie plantada por especies Forestales, según tamañode finca y departamento.",Cuadro 50
"Cuadro 51. Cantidad de fincas y superficie de espejo de agua por especies de Peces, según tamañode finca y departamento.",Cuadro 51
"Cuadro 52. Cantidad de fincas y cabezas de Ganado por especies, según tamañode finca y departamento.",Cuadro 52
"Cuadro 53. Cantidad de fincas y cabezas de Ganado vacuno por número de cabezas, según tamañode finca y departamento.",Cuadro 53
"Cuadro 54. Cantidad de fincas por raza predominante, según tamañode finca y departamento.",Cuadro 54
"Cuadro 55. Cantidad de fincas ganadera por finalidad principal, según tamañode finca y departamento.",Cuadro 55
"Cuadro 56. Cantidad de fincas y cabezas de porcinos por número de cabezas, según tamañode finca y departamento.",Cuadro 56
"Cuadro 57. Cantidad de fincas y aves de corral por categoría, según tamañode finca y departamento.",Cuadro 57
"Cuadro 58. Cantidad de fincas con producción de Miel de abeja, según tamañode finca y departamento.",Cuadro 58
"Cuadro 59. Cantidad de fincas por disponibilidad de fuente de agua, según tamañode finca y departamento.",Cuadro 59
"Cuadro 60. Cantidad de fincas por Infraestructura, Equipamiento y Tecnología, según tamañode finca y departamento.",Cuadro 60
"Cuadro 61. Cantidad de fincas por disponibilidad de Sembradoras, Pulverizadores y Arados de madera, según tamañode finca y departamento.",Cuadro 61
"Cuadro 62. Cantidad de fincas por disponibilidad de Motocultores, Motosierras, Carretas y Picadoras de forrajes, según tamañode finca y departamento.",Cuadro 62
"Cuadro 63. Cantidad de fincas por disponibilidad de Tractores por tipo, según tamañode finca y departamento.",Cuadro 63
"Cuadro 64. Cantidad de fincas por disponibilidad de Sembradoras de fuerza motriz, según tamañode finca y departamento.",Cuadro 64
"Cuadro 65. Cantidad de fincas por disponibilidad de Pulverizadores de fuerza motriz, según tamañode finca y departamento.",Cuadro 65
"Cuadro 66. Cantidad de fincas por disponibilidad de Cosechadora de fuerza motriz, según tamañode finca y departamento.",Cuadro 66
"Cuadro 67. Cantidad de fincas por disponibilidad de Acoplados y Camiones, según tamañode finca y departamento.",Cuadro 67
"Cuadro 68. Cantidad de fincas por disponibilidad de Aeronaves y Drones, según tamañode finca y departamento.",Cuadro 68
"Cuadro 69. Cantidad de fincas con Asistencia Técnica por fuente, según tamañode finca y departamento.",Cuadro 69
"Cuadro 70. Cantidad de fincas con acceso a Crédito por fuente, según tamañode finca y departamento.",Cuadro 70
"Cuadro 71. Cantidad de fincas asociadas por tipo de Organización, según tamañode finca y departamento.",Cuadro 71
"Cuadro 72. Cantidad de fincas por uso de Insumos, según tamañode finca y departamento.",Cuadro 72
"Cuadro 73. Cantidad de fincas por manejo de los envases de insumos químicos, según tamañode finca y departamento.",Cuadro 73
"Cuadro 74. Cantidad de fincas por Prácticas de manejo y conservación de suelo, según tamañode finca y departamento. ",Cuadro 74
"Cuadro 75. Cantidad de fincas por Sistema de producción, según tamañode finca y departamento.",Cuadro 75
"Cuadro 76. Cantidad de fincas por Destino de Venta de productos agropecuarios, según tamañode finca y departamento.",Cuadro 76
"Cuadro 77. Cantidad de fincas por acceso a información agropecuaria, según tamañode finca y departamento.",Cuadro 77
"Cuadro 78. Cantidad y superficie de fincas agropecuarias Indígenas, según tamañode finca y departamento. ",Cuadro 78
